placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord9_direct,col-bg-bank-row-rank,strided,strided,0.74995,0.25005,0.0,0.0,0.0,1.0,0.0,0.002683281572999748,8.7436,32
ord9_direct,col-bg-bank-row-rank,random,random,0.0,1.0,0.03175,0.0,0.0,0.0067,0.019326665516844855,0.03491704454847231,20.4326,32
ord9_direct,col-bg-bank-row-rank,locality,locality,0.00325,0.99675,0.02965,0.0,0.0,0.0365,0.016712869292853337,0.039561597541049834,20.41895,32
ord9_xor_bg,col-bg-bank-row-rank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,0.005366563145999496,2.9358,32
ord9_xor_bg,col-bg-bank-row-rank,strided,strided,0.74995,0.25005,0.0,0.0,0.0,1.0,0.0,0.002683281572999748,8.7436,32
ord9_xor_bg,col-bg-bank-row-rank,random,random,0.0,1.0,0.03055,0.0,0.0,0.0067,0.01717672844286711,0.036316387485541564,20.45435,32
ord9_xor_bg,col-bg-bank-row-rank,locality,locality,0.00325,0.99675,0.02905,0.0,0.0,0.0365,0.018296447742663053,0.04049098665135242,20.4825,32
ord9_xor_bank,col-bg-bank-row-rank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,0.005366563145999496,2.9358,32
ord9_xor_bank,col-bg-bank-row-rank,strided,strided,0.74995,0.25005,0.0,0.0,0.0,1.0,0.0,0.002683281572999748,8.7436,32
ord9_xor_bank,col-bg-bank-row-rank,random,random,0.0,1.0,0.0323,0.0,0.0,0.0067,0.019326665516844855,0.033678479775666834,20.4323,32
ord9_xor_bank,col-bg-bank-row-rank,locality,locality,0.0033,0.9967,0.03,0.0,0.0,0.0365,0.016712869292853337,0.04033658389105354,20.40825,32
ord9_xor_rank,col-bg-bank-row-rank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,0.005366563145999496,2.9358,32
ord9_xor_rank,col-bg-bank-row-rank,strided,strided,0.74995,0.25005,0.0,0.0,0.0,1.0,0.0,0.002683281572999748,8.7436,32
ord9_xor_rank,col-bg-bank-row-rank,random,random,0.0,1.0,0.03175,0.0,0.0,0.0067,0.019326665516844855,0.03491704454847231,20.4326,32
